incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
770604164,2016-00016176,08/20/2016 10:19:00 PM,VC 2800 EVADING PO:DISREGARD SFTY,VC 2800 EVADING PO:DISREGARD SFTY,,STOCKTON AVE & GALVIN DR,,EL CERRITO,CA,,,37.9147,-122.296,09/01/2016 05:11:05 AM,09/27/2016 10:03:20 AM,POINT (-122.296 37.9147),22,Saturday,Traffic
769683890,2016-00016380,08/23/2016 04:45:00 PM,PC 273.5 INFLICT CRPL INJ SP/COHAB,PC 273.5 INFLICT CRPL INJ SP/COHAB,,900 Block SEAVIEW DR,,EL CERRITO,CA,,,37.9167,-122.294,08/25/2016 05:09:56 AM,09/27/2016 10:03:27 AM,POINT (-122.294 37.9167),16,Tuesday,Assault
761631252,2016-00010753,06/07/2016 08:25:00 PM,ACCIDENT,ACCIDENT,,11400 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9226,-122.316,06/08/2016 04:57:24 AM,12/04/2016 08:16:27 AM,POINT (-122.316 37.9226),20,Tuesday,Traffic
769683891,2016-00016397,08/23/2016 08:33:00 PM,HS 11377 MIS - POSSESS CONTROLED SUBSTANCE,HS 11377 MIS - POSSESS CONTROLED SUBSTANCE,,STOCKTON AVE & ASHBURY AVE,,EL CERRITO,CA,,,37.9107,-122.299,08/25/2016 05:09:56 AM,10/06/2016 07:11:51 AM,POINT (-122.299 37.9107),20,Tuesday,Drugs
769870892,2016-00016409,08/23/2016 10:24:00 PM,HS 11377 MIS - POSSESS CONTROLED SUBSTANCE,HS 11377 MIS - POSSESS CONTROLED SUBSTANCE,,POTRERO AVE & S 56TH ST,,EL CERRITO,CA,,,37.9208,-122.317,08/27/2016 05:10:26 AM,10/06/2016 07:11:51 AM,POINT (-122.317 37.9208),22,Tuesday,Drugs
769683893,2016-00016433,08/24/2016 06:22:00 AM,PC 647 F DISORD CONDUCT:UI/DRUG,PC 647 F DISORD CONDUCT:UI/DRUG,,11400 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9226,-122.316,08/25/2016 05:09:56 AM,09/27/2016 10:03:29 AM,POINT (-122.316 37.9226),6,Wednesday,Disorder
761714206,2016-00010791,06/08/2016 08:40:00 AM,HIT AND RUN,HIT AND RUN,,POTRERO AVE,,EL CERRITO,CA,,,37.9207,-122.315,06/09/2016 04:57:44 AM,12/05/2016 08:18:34 AM,POINT (-122.315 37.9207),8,Wednesday,Traffic
766258284,2016-00014222,07/26/2016 10:36:00 PM,PC 148 OBSTRUCT/ETC PUB OFCR/ETC,PC 148 OBSTRUCT/ETC PUB OFCR/ETC,,BART PATH & LINCOLN AVE,,EL CERRITO,CA,,,37.9052,-122.301,07/28/2016 05:05:38 AM,10/27/2016 07:14:17 AM,POINT (-122.301 37.9052),22,Tuesday,Disorder
759289660,2016-00009041,05/12/2016 06:16:45 PM,ACCIDENT,ACCIDENT,,100 Block EL CERRITO PLZ,,EL CERRITO,CA,,,37.9006,-122.299,05/13/2016 04:53:39 AM,11/08/2016 08:15:38 AM,POINT (-122.299 37.9006),18,Thursday,Traffic
759429889,2016-00009061,05/13/2016 03:14:19 AM,ACCIDENT,ACCIDENT,,CENTRAL AVE,,EL CERRITO,CA,,,37.9012,-122.309,05/14/2016 04:53:51 AM,11/09/2016 08:14:49 AM,POINT (-122.309 37.9012),3,Friday,Traffic
